id,time,outerdevice_id,outerdevice_parameter_id,value,create_at,create_user,elec
41451018,6:00:00 PM,1370,21,1859934.88,0.024680556,DeviceDataService,235.26
41451211,7:00:00 PM,1370,21,1860153.62,0.024680556,DeviceDataService,218.74
41451404,8:00:00 PM,1370,21,1860356.38,0.024680556,DeviceDataService,202.76
41451597,9:00:00 PM,1370,21,1860550.75,0.024680556,DeviceDataService,194.37
41451790,10:00:00 PM,1370,21,1860728.88,0.024680556,DeviceDataService,178.13
41451983,11:00:00 PM,1370,21,1860728.88,0.024680556,DeviceDataService,94.75
41452186,12:00:00 AM,1370,21,1860728.88,0.024758102,DeviceDataService,89.25
41452379,1:00:00 AM,1370,21,1860728.88,0.024758102,DeviceDataService,89.13
41452572,2:00:00 AM,1370,21,1860728.88,0.024758102,DeviceDataService,88
41452765,3:00:00 AM,1370,21,1860728.88,0.024758102,DeviceDataService,85.62
41452958,4:00:00 AM,1370,21,1860728.88,0.024758102,DeviceDataService,87.25
41453151,5:00:00 AM,1370,21,1860728.88,0.024758102,DeviceDataService,103.5
41453344,6:00:00 AM,1370,21,1860728.88,0.024758102,DeviceDataService,111.63
41453537,7:00:00 AM,1370,21,1860728.88,0.024758102,DeviceDataService,141.62
41453730,8:00:00 AM,1370,21,1860728.88,0.024758102,DeviceDataService,174.75
41453923,9:00:00 AM,1370,21,1860728.88,0.024758102,DeviceDataService,242.87
41454116,10:00:00 AM,1370,21,1860728.88,0.024758102,DeviceDataService,281.26
41454309,11:00:00 AM,1370,21,1860728.88,0.024758102,DeviceDataService,261.12
41454502,12:00:00 PM,1370,21,1860728.88,0.024758102,DeviceDataService,263.62
41454695,1:00:00 PM,1370,21,1860728.88,0.024758102,DeviceDataService,245.63
41454888,2:00:00 PM,1370,21,1860728.88,0.024758102,DeviceDataService,263.13
41455081,3:00:00 PM,1370,21,1860728.88,0.024758102,DeviceDataService,270.37
41455274,4:00:00 PM,1370,21,1860728.88,0.024758102,DeviceDataService,273.25
41455467,5:00:00 PM,1370,21,1860728.88,0.024758102,DeviceDataService,257.62
41455660,6:00:00 PM,1370,21,1860728.88,0.024758102,DeviceDataService,235.26
